Ecotype,Recording,Maximum Frequency (kHz),Minimum Frequency (kHz),Fundamental frequency Start (kHz),Fundamental frequency End (kHz),Delta Frequency (kHz),Peak Frequency (kHz),Duration (s)
Oceanic,STAR06-100606-0900sel.01_1,18.87754259,9.838817906,9.838817906,18.87754259,9.038724685,10.3125,0.646
Oceanic,PICEAS-050807-100000sel.23_1,13.59047945,10.00459237,10.51886361,10.00459237,3.585887086,10.3125,0.92
Oceanic,Acst1622-b07sel.02_1,20.49097754,4.384677538,4.40997635,20.49097754,16.1063,10.3515625,0.747
Oceanic,Acst1622-b07sel.03_1,18.90524308,4.512639741,4.512639741,18.90524308,14.39260334,10.3515625,0.615
Oceanic,PICEAS-050807-100000sel.06_1,20.29505278,8.801697145,8.801697145,10.75583483,11.49335563,10.359375,0.802
Oceanic,PICEAS-050811-183000sel.43_1,17.07680452,9.568608756,9.568608756,17.07680452,7.508195767,10.359375,0.346
Oceanic,HICEAS021119-144118sel.03_1,19.49696928,9.030576569,9.982228928,9.713161367,10.46639271,10.36376953,1.143
Oceanic,HICEAS021009-125751sel.01_1,17.16523867,5.981921229,7.865967705,8.01086827,11.18331744,10.36376953,1.158
Oceanic,HICEAS020823-133403sel.05_1,19.15201327,8.856873918,10.58212573,15.0375114,10.29513935,10.40039063,1.334
Oceanic,HICEAS021119-142333sel.02-1_1,14.76794513,10.16573552,10.30557593,14.76794513,4.602209606,10.40039063,0.479
Oceanic,PICEAS-050807-113000sel.03_1,20.98471791,10.00459237,12.50122011,20.98471791,10.98012555,10.40625,0.64
Oceanic,PICEAS-050807-093000sel.07_1,19.95876707,6.515531757,6.515531757,19.62805356,13.44323531,10.40625,0.675
Oceanic,PICEAS-050807-093000sel.06_1,19.737678,7.122805205,7.122805205,19.737678,12.61487279,10.40625,0.639
Oceanic,PICEAS-050811-183000sel.25_1,17.55903856,8.607779246,8.607779246,17.26808816,8.951259315,10.40625,1.175
Oceanic,PICEAS-050807-100000sel.10_1,13.36528743,7.83016825,8.371378823,7.83016825,5.53511918,10.40625,1.706
Oceanic,HICEAS021119-143415sel.01_1,20.40540929,8.472781276,9.891721605,9.757496948,11.93262802,10.43701172,1.465
Oceanic,piceas-050827-152600sel.22-1_1,18.26377974,10.1562499,14.42606975,13.93658676,8.107529847,10.44921875,2.273
Oceanic,piceas-050827-100600sel.02_1,16.94762518,10.09798631,10.09798631,16.94762518,6.849638876,10.44921875,1.016
Oceanic,PICEAS-050807-100000sel.31_1,20.52238521,9.305820516,9.305820516,9.305820516,11.2165647,10.453125,0.712
Oceanic,PICEAS-050807-100000sel.41-2_1,19.737678,7.530768864,7.530768864,10.46044111,12.20690913,10.453125,0.869
Oceanic,PICEAS-050807-100000sel.21_1,18.35909771,10.00459237,10.06046891,14.20971538,8.354505348,10.453125,0.64
Oceanic,piceas-050827-152600sel.16_1,18.90524308,9.982459934,10.27378753,9.982459934,8.922783149,10.49804688,1.332
Oceanic,piceas-050827-084800sel.02_1,13.61952683,10.33306546,10.57361721,13.61952683,3.286461372,10.49804688,1.243
Oceanic,piceas-050827-090200sel.02_1,13.61952683,10.45264937,10.45264937,11.79497431,3.166877465,10.49804688,1.272
Oceanic,HICEAS021009-125551sel.08-2_1,18.13143344,8.500485717,17.16523867,8.539365446,9.630947725,10.51025391,1.151
Oceanic,PICEAS-050807-093000sel.05_1,20.52238521,7.700423642,7.700423642,20.52238521,12.82196157,10.546875,0.397
Oceanic,piceas-050827-085400sel.06_1,19.79570952,10.57361721,10.81976896,19.79570952,9.222092309,10.546875,0.744
Oceanic,PICEAS-050807-113000sel.09-1_1,19.62805356,9.893768583,13.21723625,10.63668931,9.734284979,10.546875,0.806
Oceanic,HICEAS021009-125551sel.07_1,16.85475387,8.578423004,15.3145204,13.7886158,8.276330868,10.546875,1.058
Oceanic,piceas-050827-082600sel.01_1,15.01890373,8.595555615,15.01890373,8.595555615,6.423348111,10.546875,0.3
Oceanic,PICEAS-050807-100000sel.27_1,20.75226408,7.242817507,7.242817507,20.75226408,13.50944657,10.59375,0.831
Oceanic,piceas-050827-082000sel.01_1,14.0169984,8.497217855,8.497217855,14.0169984,5.519780541,10.59570313,0.767
Oceanic,piceas-050827-094800sel.01_1,10.57361721,10.21484966,10.21484966,10.57361721,0.358767554,10.59570313,0.568
Oceanic,HICEAS021009-130151sel.01_1,13.23378122,9.020028165,10.53394532,10.15631581,4.213753051,10.62011719,0.83
Oceanic,PICEAS-050807-100000sel.29-1_1,21.33828989,8.232666444,8.232666444,21.21977554,13.10562344,10.640625,0.903
Oceanic,PICEAS-050807-100000sel.29-2_1,20.98471791,8.371378823,8.371378823,20.98471791,12.61333909,10.640625,0.891
Oceanic,Acst1008-b29sel.01_1,20.9680035,4.384677538,5.615358584,4.384677538,16.58332596,10.64453125,0.832
Oceanic,piceas-050827-095600sel.03_1,18.26377974,9.868255246,11.00813608,18.26377974,8.395524497,10.64453125,1.091
Oceanic,Acst1649-b07sel.01-2_1,13.23332613,8.068435763,8.161811255,8.068435763,5.164890364,10.64453125,0.7
Oceanic,HICEAS020823-133303sel.04_1,14.49843437,8.500485717,10.24943469,8.776406829,5.99794865,10.65673828,1.27
Oceanic,PICEAS-050807-100000sel.56_1,21.81900346,10.51886361,10.51886361,21.81900346,11.30013985,10.6875,1.168
Oceanic,PICEAS-050807-100000sel.03_1,13.81946574,8.512428369,8.559971042,9.515464038,5.307037371,10.6875,1.293
Oceanic,HICEAS020823-132803sel.19_1,19.23961121,7.14715408,9.571324605,7.14715408,12.09245713,10.69335938,1.804
Oceanic,Acst1622-b07sel.04_1,19.01432298,4.538676872,4.752455631,19.01432298,14.47564611,10.69335938,0.631
Oceanic,HICEAS021119-143315sel.01_1,15.17703696,8.550305572,15.17703696,11.76058854,6.626731389,10.69335938,0.98
Oceanic,HICEAS021119-142433sel.02_1,19.58596291,6.244706569,6.273210439,10.11954501,13.34125634,10.72998047,1.089
Oceanic,PICEAS-050807-100000sel.22_1,16.24191305,9.202737233,12.71185344,9.202737233,7.03917582,10.734375,1.04
Oceanic,piceas-050827-152800sel.04-2_1,21.21066487,10.63462511,17.95125675,21.21066487,10.57603976,10.7421875,0.894
Oceanic,HICEAS020827-071015sel.01_1,16.10289039,8.617659205,10.92561574,9.571324605,7.485231185,10.76660156,1.509
Oceanic,PICEAS-050807-113000sel.17_1,20.86816733,10.28711331,10.75583483,11.95643759,10.58105402,10.78125,0.711
Oceanic,PICEAS-050811-183000sel.14_1,18.05489047,6.551921585,8.418133722,6.551921585,11.50296888,10.78125,1.053
Oceanic,PICEAS-050807-100000sel.55_1,17.07680452,9.838817906,9.838817906,11.30872258,7.237986617,10.78125,1.201
Oceanic,piceas-050827-090200sel.01_1,21.95562917,10.63462511,21.95562917,10.63462511,11.32100407,10.79101563,1.418
Oceanic,piceas-050827-082000sel.03_1,15.63609999,10.09798631,10.09798631,12.63805407,5.538113688,10.79101563,0.697
Oceanic,piceas-050827-082400sel.08_1,12.63805407,5.615358584,5.615358584,8.897450069,7.022695484,10.79101563,0.397
Oceanic,PICEAS-050807-100000sel.40_1,21.45746614,9.254135343,9.784172428,12.09036609,12.2033308,10.828125,1.194
Oceanic,PICEAS-050811-190000sel.03_1,20.18233264,10.81590713,10.81590713,20.18233264,9.366425517,10.828125,0.631
Oceanic,PICEAS-050807-113000sel.11_1,17.65710736,6.407570461,6.407570461,17.65710736,11.2495369,10.828125,1.069
Oceanic,piceas-050827-152600sel.11_1,18.68895698,10.69598501,11.00813608,11.00813608,7.99297197,10.83984375,1.122
Oceanic,Acst1626-b07sel.02_1,16.00010535,7.274690667,11.26440334,16.00010535,8.725414687,10.83984375,1.375
Oceanic,piceas-050827-082400sel.04_1,12.4217964,10.69598501,10.69598501,12.4217964,1.725811392,10.83984375,0.362
Oceanic,PICEAS-050811-183000sel.41_1,20.63700457,4.219699347,4.219699347,10.69609617,16.41730522,10.875,1.538
Oceanic,piceas-050827-082400sel.05_1,13.00688238,10.69598501,10.94498545,13.00688238,2.310897376,10.9375,0.367
Oceanic,PICEAS-050807-113000sel.18_1,18.77269541,9.515464038,15.53411731,9.515464038,9.257231371,10.96875,1.097
Oceanic,piceas-050827-152600sel.09_1,14.34331139,10.69598501,13.77714475,10.69598501,3.647326381,10.98632813,1.047
Oceanic,ACST1720sel.03_1,15.31590389,8.095576712,14.36988023,15.17703696,7.220327175,11.02294922,0.994
Oceanic,piceas-050827-152800sel.02_1,20.25654978,10.69598501,17.74588476,20.25654978,9.560564773,11.1328125,0.878
Oceanic,piceas-050827-090200sel.07_1,19.23437453,11.13553254,19.23437453,16.18527355,8.098841993,11.1328125,1.027
Oceanic,Acst1652-b07sel.02_1,18.68895698,5.81258209,5.81258209,18.68895698,12.87637489,11.1328125,0.991
Oceanic,HICEAS020827-071015sel.04-1_1,14.04261865,10.39071627,10.63052652,10.39071627,3.651902385,11.1328125,0.905
Oceanic,PICEAS-050807-100000sel.13_1,18.25713001,8.752811908,14.05231022,8.752811908,9.504318103,11.15625,1.394
Oceanic,HICEAS020823-133203sel.01_1,16.32485792,9.882004562,14.76551293,14.432423,6.44285336,11.16943359,1.182
Oceanic,HICEAS021119-144318sel.01_1,13.36004816,7.492467152,10.73674528,7.492467152,5.867581012,11.16943359,1.345
Oceanic,Acst1628-b07sel.05_1,18.4751453,5.947897869,5.947897869,18.4751453,12.52724743,11.18164063,0.761
Oceanic,Acst1647-b07sel.01_1,18.4751453,6.483992665,6.483992665,18.4751453,11.99115263,11.18164063,0.662
Oceanic,Acst1626-b07sel.03_1,17.74588476,8.068435763,17.74588476,17.54286233,9.677448998,11.18164063,0.834
Oceanic,piceas-050827-152600sel.02_1,16.09242313,11.39476556,14.76190584,11.39476556,4.697657561,11.18164063,0.542
Oceanic,piceas-050827-082400sel.03_1,14.09787399,10.5129593,14.09787399,13.00688238,3.584914692,11.18164063,0.408
Oceanic,piceas-050827-082800sel.01_1,12.2796844,10.33306546,10.33306546,11.86302922,1.946618936,11.18164063,0.447
Oceanic,PICEAS-050807-113000sel.14_1,19.95876707,9.151624591,12.36274045,19.95876707,10.80714248,11.203125,0.659
Oceanic,piceas-050827-082400sel.11_1,14.67722088,9.209947708,14.67722088,9.209947708,5.467273175,11.23046875,0.28
Oceanic,Acst1626-b07sel.09_1,13.46371215,5.033894149,5.270998415,13.46371215,8.429818,11.23046875,0.631
Oceanic,HICEAS020827-072126sel.04_1,19.77367713,6.85956261,8.461783007,11.75318703,12.91411452,11.27929688,1.193
Oceanic,piceas-050827-152600sel.20_1,18.1590055,8.208903459,8.208903459,18.05483232,9.950102042,11.27929688,0.761
Oceanic,HICEAS021119-144218sel.02_1,13.42102991,7.257384045,10.25875002,7.257384045,6.16364586,11.27929688,1.293
Oceanic,PICEAS-050807-100000sel.18_1,19.84791469,10.40234309,10.40234309,17.75572388,9.445571597,11.296875,0.583
Oceanic,PICEAS-050811-183000sel.33_1,18.15572864,8.096252507,8.096252507,18.15572864,10.05947614,11.296875,0.512
Oceanic,HICEAS021009-130451sel.01_1,14.30130054,7.480863372,7.480863372,8.233239278,6.82043717,11.31591797,0.99
Oceanic,HICEAS020823-132903 sel.07_1,15.52562078,8.617659205,8.617659205,9.44118422,6.907961578,11.35253906,1.275
Oceanic,piceas-050827-082400sel.07_1,11.52663646,9.209947708,11.52663646,9.209947708,2.31668875,11.37695313,0.259
Oceanic,ACST1720sel.05-3_1,19.85538848,8.908037127,8.908037127,10.30557593,10.94735135,11.38916016,0.842
Oceanic,HICEAS021119-142433sel.05_1,13.79281038,7.061763745,7.061763745,8.357810778,6.731046638,11.38916016,1.21
Oceanic,PICEAS-050811-183000sel.47_1,21.81900346,11.30872258,19.08899697,21.81900346,10.51028089,11.390625,0.628
Oceanic,PICEAS-050811-183000sel.16_1,20.18233264,6.094301904,6.094301904,20.18233264,14.08803074,11.390625,1.056
Oceanic,PICEAS-050811-183000sel.26_1,16.42384476,7.700423642,7.700423642,16.42384476,8.72342112,11.390625,0.435
Oceanic,HICEAS020823-132803sel.14_1,20.60270096,7.830153956,7.830153956,20.60270096,12.77254701,11.42578125,0.658
Oceanic,PICEAS-050811-183000sel.24_1,15.62087674,6.266399664,6.266399664,15.62087674,9.354477079,11.4375,0.933
Oceanic,HICEAS020823-133103 sel.12_1,20.32256801,11.22889625,14.23618672,20.32256801,9.093671763,11.46240234,1.108
Oceanic,ACST1720sel.14_1,15.45604142,3.942322852,3.942322852,11.76058854,11.51371857,11.46240234,0.895
Oceanic,PICEAS-050807-100000sel.58_1,20.86816733,10.81590713,10.81590713,20.86816733,10.05226021,11.484375,1.652
Oceanic,PICEAS-050807-100000sel.49_1,15.44783974,10.34456776,10.34456776,15.44783974,5.103271985,11.484375,1.237
Oceanic,Acst1638-b07sel.01_1,13.77714475,5.519270662,6.409812316,13.77714475,8.257874084,11.5234375,0.887
Oceanic,PICEAS-050811-183000sel.02_1,14.36888368,11.95643759,12.50122011,11.95643759,2.412446099,11.53125,0.262
Oceanic,HICEAS021009-125551sel.04_1,19.68364758,9.972608399,9.972608399,16.02957393,9.711039185,11.53564453,0.95
Oceanic,ACST1718sel.01_1,21.25914004,7.191582469,7.913319324,7.877363216,14.06755758,11.57226563,1.112
Oceanic,piceas-050827-082400sel.02_1,13.38647457,10.33306546,13.38647457,10.33306546,3.053409106,11.57226563,0.533
Oceanic,HICEAS021119-142433sel.03_1,11.49581998,8.282031803,11.49581998,8.282031803,3.213788179,11.57226563,0.419
Oceanic,PICEAS-050807-100000sel.54_1,19.51903799,10.69609617,10.69609617,12.09036609,8.822941816,11.578125,0.96
Oceanic,HICEAS021119-142433sel.04_1,19.9460181,4.337968693,19.9460181,4.337968693,15.60804941,11.60888672,1.296
Oceanic,piceas-050827-082400sel.01_1,20.14034357,11.52663646,13.1574102,20.14034357,8.613707111,11.62109375,1.105
Oceanic,Acst1628-b07sel.03-1_1,17.4422238,7.794670134,12.78431346,13.93658676,9.647553662,11.62109375,0.998
Oceanic,piceas-050827-082000sel.03-1_1,15.45721463,11.39476556,13.54139538,15.45721463,4.062449071,11.62109375,0.981
Oceanic,piceas-050827-082400sel.09_1,12.13919823,11.46051134,12.13919823,11.59314311,0.678686888,11.62109375,0.548
Oceanic,ACST1721sel.02-2_1,16.85298593,6.809114256,7.029676889,10.63939688,10.04387168,11.64550781,1.56
Oceanic,PICEAS-050807-113000sel.04-2_1,21.45746614,7.572828881,7.572828881,21.45746614,13.88463726,11.671875,0.872
Oceanic,PICEAS-050811-183000sel.05_1,14.44913518,11.0595702,12.64125093,11.0595702,3.38956498,11.671875,0.441
Oceanic,PICEAS-050807-113000sel.02_1,20.86816733,7.917876877,7.917876877,20.86816733,12.95029045,11.71875,0.595
Oceanic,Acst1636-b07sel.10-1_1,20.14034357,7.274690667,8.846407865,7.274690667,12.8656529,11.71875,0.682
Oceanic,ACST1335-810sel.03_1,13.54382971,9.936872222,11.9767873,11.23701222,3.606957488,11.71875,0.77
Oceanic,Acst1628-b07sel.07-1_1,19.90992725,10.27378753,10.27378753,19.90992725,9.636139725,11.76757813,0.479
Oceanic,Acst1638-b07sel.03_1,13.46371215,7.705494933,7.705494933,7.930371698,5.758217216,11.81640625,0.739
Oceanic,PICEAS-050807-100000sel.53_1,20.98471791,11.95643759,12.64125093,11.95643759,9.028280326,11.859375,0.856
Oceanic,PICEAS-050807-100000sel.08_1,15.19187156,8.655854462,8.655854462,9.622050291,6.536017103,11.859375,1.276
Oceanic,piceas-050827-082324sel01_1,19.79570952,11.66003349,11.66003349,12.63805407,8.135676033,11.86523438,0.191
Oceanic,HICEAS020827-072126sel.06_1,14.63136426,7.865967705,8.308726298,8.736447851,6.765396554,11.86523438,1.133
Oceanic,HICEAS020827-072126sel.01-2_1,18.63473783,8.121292711,8.121292711,13.23378122,10.51344512,11.90185547,0.776
Oceanic,HICEAS020823-133203sel.09_1,16.17654218,9.703258888,15.45493263,11.12687869,6.473283295,11.90185547,1.114
Oceanic,PICEAS-050807-100000sel.38_1,15.53411731,10.75583483,10.75583483,15.53411731,4.778282482,11.90625,0.466
Oceanic,piceas-050827-085400sel.04_1,19.79570952,11.46051134,11.46051134,19.79570952,8.335198179,11.9140625,0.571
Oceanic,piceas-050827-152400sel.02-3_1,17.14375897,10.69598501,17.14375897,10.69598501,6.447773959,11.9140625,0.236
Oceanic,HICEAS020823-132803sel.16-3_1,17.96670448,3.275182144,12.07943981,3.275182144,14.69152233,11.93847656,1.503
Oceanic,PICEAS-050807-100000sel.47-1_1,19.4106279,11.82399265,14.61098532,19.4106279,7.586635253,11.953125,1.694
Oceanic,PICEAS-050807-100000sel.02_1,18.15572864,11.82399265,13.07082508,18.15572864,6.331735998,11.953125,1.366
Oceanic,ACST1343-810sel.02_1,20.03706141,10.02779266,10.02779266,20.03706141,10.00926874,11.97509766,0.752
Oceanic,ACST1720sel.11-1_1,15.45604142,5.522184193,5.522184193,12.08637257,9.933857226,11.97509766,0.854
Oceanic,PICEAS-050811-183000sel.27_1,21.21977554,7.743431196,7.743431196,21.21977554,13.47634435,12,0.553
Oceanic,PICEAS-050811-183000sel.39_1,20.98471791,11.43539579,13.74271147,16.15170434,9.549322127,12,0.608
Oceanic,PICEAS-050807-100000sel.15_1,13.59047945,8.465149751,8.465149751,10.06046891,5.125329701,12,0.956
Oceanic,PICEAS-050807-113000sel.05-2_1,20.40840246,8.096252507,8.096252507,20.40840246,12.31214995,12.046875,0.737
Oceanic,HICEAS020823-132803sel.15-1_1,21.17460443,9.102728913,9.927203115,15.52562078,12.07187552,12.04833984,1.048
Oceanic,HICEAS020823-132803sel.15-2_1,16.77801418,11.48805108,13.35511605,16.77801418,5.289963097,12.04833984,0.385
Oceanic,Acst1636-b07sel.06_1,12.85807668,3.122627728,3.122627728,5.092151085,9.735448955,12.06054688,0.773
Oceanic,PICEAS-050811-183000sel.17_1,18.77269541,11.3718828,18.77269541,16.15170434,7.400812606,12.09375,0.465
Oceanic,PICEAS-050811-183000sel.31_1,17.26808816,8.371378823,8.418133722,17.26808816,8.89670934,12.09375,0.513
Oceanic,piceas-050827-082400sel.06_1,20.25654978,10.63462511,12.13919823,10.63462511,9.621924674,12.15820313,1.308
Oceanic,piceas-050827-152600sel.17_1,18.90524308,9.64375061,11.13553254,9.64375061,9.261492473,12.15820313,0.722
Oceanic,PICEAS-050807-100000sel.33_1,21.57730801,11.75832137,11.75832137,21.57730801,9.818986639,12.1875,0.71
Oceanic,PICEAS-050807-100000sel.59_1,21.33828989,10.69609617,10.93706013,10.69609617,10.64219371,12.1875,0.836
Oceanic,ACST1335-810sel.01_1,12.82353145,10.39986994,12.76526459,10.39986994,2.423661508,12.19482422,0.491
Oceanic,PICEAS-050807-100000sel.32_1,21.81900346,8.051285359,10.99814458,21.81900346,13.7677181,12.234375,0.929
Oceanic,piceas-050827-082000sel.02_1,14.26102779,12.350536,12.56555306,13.61952683,1.910491791,12.25585938,0.923
Oceanic,Acst0958-b29sel.03-2_1,16.00010535,8.745200221,9.052350517,16.00010535,7.254905134,12.3046875,2.016
Oceanic,Acst1624-b07sel.05-1_1,15.81705558,7.027857164,7.027857164,15.81705558,8.789198416,12.3046875,0.477
Oceanic,ACST1720sel.11-3_1,17.96248185,7.526666407,7.526666407,17.96248185,10.43581544,12.34130859,0.589
Oceanic,Acst1638-b07sel.02_1,19.45697272,6.263987898,6.263987898,19.45697272,13.19298482,12.35351563,0.683
